,data_indexes,lables,Latitude,Longitude,Parent Incident Type
2965,3160,1,42.958,-78.881,Theft
2970,3165,1,42.924,-78.885,Theft
2971,3166,1,42.944,-78.868,Theft
2978,3173,1,42.941,-78.899,Theft
2984,3179,1,42.954,-78.879,Theft
2989,3184,1,42.928,-78.889,Theft
2993,3188,1,42.952,-78.909,Breaking & Entering
2994,3189,1,42.948,-78.884,Assault
3011,3209,1,42.954,-78.878,Theft
3017,3215,1,42.952,-78.902,Theft
3021,3219,1,42.955,-78.903,Theft
3022,3220,1,42.941,-78.886,Theft of Vehicle
3023,3221,1,42.927,-78.892,Assault
3027,3225,1,42.927,-78.892,Assault
3029,3227,1,42.948,-78.853,Theft
3037,3235,1,42.958,-78.896,Theft
3039,3237,1,42.952,-78.863,Theft
3050,3248,1,42.947,-78.891,Robbery
3052,3250,1,42.942,-78.888,Breaking & Entering
3057,3255,1,42.941,-78.899,Theft
3072,3271,1,42.948,-78.856,Theft
3073,3272,1,42.923,-78.889,Theft of Vehicle
3074,3273,1,42.92,-78.893,Theft
3080,3279,1,42.947,-78.891,Theft
3084,3284,1,42.943,-78.904,Assault
3090,3290,1,42.94,-78.906,Theft
3104,3304,1,42.954,-78.902,Theft
3127,3330,1,42.942,-78.889,Breaking & Entering
3135,3339,1,42.943,-78.868,Theft
3146,3351,1,42.951,-78.869,Assault
3151,3357,1,42.944,-78.898,Theft
3153,3359,1,42.943,-78.868,Theft
3154,3360,1,42.936,-78.9,Theft
3160,3366,1,42.947,-78.891,Robbery
3167,3373,1,42.937,-78.891,Theft
3178,3384,1,42.943,-78.905,Theft
3181,3387,1,42.947,-78.878,Theft
3182,3388,1,42.946,-78.892,Theft of Vehicle
3189,3397,1,42.954,-78.879,Theft
3194,3402,1,42.947,-78.869,Assault
3197,3406,1,42.948,-78.903,Theft of Vehicle
3200,3409,1,42.934,-78.9,Breaking & Entering
3202,3411,1,42.954,-78.904,Assault
3206,3415,1,42.954,-78.878,Theft
3210,3419,1,42.952,-78.891,Theft
